run_date,ticker,quarter,aisc_aud_oz,production_oz,cash_aud_m,debt_aud_m,ev_oz,stage,margin,fair_ev_oz,mispricing_pct
2026-07-30,WGX,Q4 FY26,2802.0,98854.0,939.0,0.0,242.21185986142527,producer,3042.3241373285045,422.81908171325136,42.71501208507681
2026-07-30,RMS,Q4 FY26,1973.0,53466.0,649.6,0.0,430.8810118345666,producer,3871.3241373285045,492.8484627633981,12.573327424291925
2026-07-31,NST,Q4 FY26,2651.0,433482.0,1235.0,,386.07683398893624,producer,3193.3241373285045,435.5747349564023,11.36381359961579
2026-07-31,GMD,Q4 FY26,2797.0,70766.0,520.1,285.0,418.326124190909,producer,3047.3241373285045,423.2414543371968,1.1613536660734856
2026-07-31,CMM,Q3 FY26,1617.0,30358.0,507.6,0.0,591.3365938736264,producer,4227.324137328505,522.9213935883104,-13.083266648520118
2026-07-30,RRL,Q4 FY26,3244.0,101541.0,1180.0,0.0,490.8870154062907,producer,2600.3241373285045,385.4813417564783,-27.34391064675726
2026-07-30,BGL,Q4 FY26,2604.0,41643.0,206.0,100.0,562.7120675807744,producer,3240.3241373285045,439.5450376214891,-28.021481171936163
